      core_100030008  |            lead_box  |                   3 8 fiber a  |                      -0.7*cm 0.8196152424*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                         0*cm 0.046*cm 1.99*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                fiber_a manual 100030008 
      core_100030009  |            lead_box  |                   3 9 fiber a  |                      -0.7*cm 1.0928203232*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                         0*cm 0.046*cm 1.99*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                fiber_a manual 100030009 
      core_100030010  |            lead_box  |                  3 10 fiber a  |                       -0.7*cm 1.366025404*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                         0*cm 0.046*cm 1.99*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                fiber_a manual 100030010 
      core_100040000  |            lead_box  |                   4 0 fiber a  |                      -0.6*cm -1.366025404*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                         0*cm 0.046*cm 1.99*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                fiber_a manual 100040000 
      core_100040001  |            lead_box  |                   4 1 fiber a  |                     -0.6*cm -1.0928203232*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                         0*cm 0.046*cm 1.99*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                fiber_a manual 100040001 
      core_100040002  |            lead_box  |                   4 2 fiber a  |                     -0.6*cm -0.8196152424*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                         0*cm 0.046*cm 1.99*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                fiber_a manual 100040002 
      core_100040003  |            lead_box  |                   4 3 fiber a  |                     -0.6*cm -0.5464101616*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                         0*cm 0.046*cm 1.99*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                fiber_a manual 100040003 
      core_100040004  |            lead_box  |                   4 4 fiber a  |                     -0.6*cm -0.2732050808*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                         0*cm 0.046*cm 1.99*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                fiber_a manual 100040004 
      core_100040005  |            lead_box  |                   4 5 fiber a  |                                 -0.6*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                         0*cm 0.046*cm 1.99*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                fiber_a manual 100040005 
      core_100040006  |            lead_box  |                   4 6 fiber a  |                      -0.6*cm 0.2732050808*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                         0*cm 0.046*cm 1.99*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                fiber_a manual 100040006 
